TIMEPOINT,FOLDER,FILENAME,VIAL,REP,POINT,TEMP,SYMBIONT_TREATMENT,AVERAGE_FvFm,PAR,F,FvFm,Fm',Fo,Y(ii),Y(NPQ),Y(NO),NPQ,qN,qP,qL,ETR,Abs,lnh
1,11.4.24,T1V1-6,1,1,1,27.5,D,,0,0.0982,0.070075758,0.1056,0.0982,0.069,0,0.931,0,0,1,1,0,0,0
1,11.4.24,T1V1-6,2,1,2,27.5,D,,0,0.2991,0.085321101,0.327,0.2991,0.085,0,0.915,0,0,1,1,0,0,-0.227
1,11.4.24,T1V1-6,2,2,3,27.5,D,,0,0.1193,0.302746932,0.1711,0.1193,0.303,0,0.697,0,0,1,1,0,0,-3.361
1,11.4.24,T1V1-6,3,1,4,27.5,D,,0,0.1647,0.381756757,0.2664,0.1647,0.382,0,0.618,0,0,1,1,0,0,-4.496
1,11.4.24,T1V1-6,3,2,5,27.5,D,,0,0.1848,0.308900524,0.2674,0.1848,0.309,0,0.691,0,0,1,1,0,0,-3.449
1,11.4.24,T1V1-6,3,3,14,27.5,D,,0,,0.308900524,,,,,,,,,,,,
1,11.4.24,T1V1-6,3,4,15,27.5,D,,0,,0.308900524,,,,,,,,,,,,
1,11.4.24,T1V1-6,3,5,6,27.5,D,,0,0.1149,0.508133562,0.2336,0.1149,0.508,0,0.492,0,0,1,1,0,0,-6.321
1,11.4.24,T1V1-6,4,1,7,27.5,C,,0,0.1618,0.219111969,0.2072,0.1618,0.219,0,0.781,0,0,1,1,0,0,-2.158
1,11.4.24,T1V1-6,4,2,8,27.5,C,,0,0.2375,0.114796869,0.2683,0.2375,0.115,0,0.885,0,0,1,1,0,0,-0.652
1,11.4.24,T1V1-6,5,1,9,27.5,C,,0,0.2571,0.280436608,0.3573,0.2571,0.28,0,0.72,0,0,1,1,0,0,-3.038
1,11.4.24,T1V1-6,5,2,10,27.5,C,,0,0.1559,0.229362333,0.2023,0.1559,0.229,0,0.771,0,0,1,1,0,0,-2.304
1,11.4.24,T1V1-6,6,1,11,27.5,D,,0,0.1515,0.37756779,0.2434,0.1515,0.378,0,0.622,0,0,1,1,0,0,-4.436
1,11.4.24,T1V1-6,6,2,12,27.5,D,,0,0.1593,0.355843106,0.2473,0.1593,0.356,0,0.644,0,0,1,1,0,0,-4.123
1,11.4.24,T1V1-6,6,3,13,27.5,D,,0,0.1706,0.294749897,0.2419,0.1706,0.295,0,0.705,0,0,1,1,0,0,-3.247
1,11.4.24,T1V7-12,7,1,NA,27.5,C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T1V7-12,8,1,1,27.5,D,,0,0.1227,0.406386067,0.2067,0.1227,0.407,0,0.593,0,0,1,1,0,0,0
1,11.4.24,T1V7-12,9,1,2,27.5,D,,0,0.1628,0.219932918,0.2087,0.1628,0.22,0,0.78,0,0,1,1,0,0,0.459
1,11.4.24,T1V7-12,10,1,3,27.5,C,,0,0.1442,0.546112685,0.3177,0.1442,0.546,0,0.454,0,0,1,1,0,0,-0.343
1,11.4.24,T1V7-12,10,2,4,27.5,C,,0,0.1256,0.497197758,0.2498,0.1256,0.497,0,0.503,0,0,1,1,0,0,-0.222
1,11.4.24,T1V7-12,11,1,5,27.5,D,,0,0.174,0.330769231,0.26,0.174,0.331,0,0.669,0,0,1,1,0,0,0.186
1,11.4.24,T1V7-12,11,2,6,27.5,D,,0,0.2131,0.198570891,0.2659,0.2131,0.199,0,0.801,0,0,1,1,0,0,0.512
1,11.4.24,T1V7-12,12,1,7,27.5,C,,0,0.1031,0.301490515,0.1476,0.1031,0.301,0,0.699,0,0,1,1,0,0,0.259
1,11.4.24,T1V13-18,13,1,1,27.5,C,,0,0.3656,0.053095053,0.3861,0.3656,0.053,0,0.947,0,0,0,0,0,0,0
1,11.4.24,T1V13-18,13,2,2,27.5,C,,0,0.2004,0.219017927,0.2566,0.2004,0.219,0,0.781,0,0,1,1,0,0,-3.12
1,11.4.24,T1V13-18,14,1,3,27.5,C,,0,0.1041,0.082010582,0.1134,0.1041,0.082,0,0.918,0,0,1,1,0,0,-0.54
1,11.4.24,T1V13-18,15,1,4,27.5,D,,0,0.1232,0.136650315,0.1427,0.1232,0.137,0,0.863,0,0,1,1,0,0,-1.577
1,11.4.24,T1V13-18,16,1,5,27.5,C,,0,0.1129,0.147924528,0.1325,0.1129,0.148,0,0.852,0,0,1,1,0,0,-1.776
1,11.4.24,T1V13-18,17,1,6,27.5,C,0.330894596,0,0.1564,0.336162988,0.2356,0.1564,0.336,0,0.664,0,0,1,1,0,0,-5.322
1,11.4.24,T1V13-18,17,2,7,27.5,C,,0,0.175,0.325626204,0.2595,0.175,0.326,0,0.674,0,0,1,1,0,0,-5.128
1,11.4.24,T1V13-18,18,1,8,27.5,C,0.125396203,0,0.2341,0.103065134,0.261,0.2341,0.103,0,0.897,0,0,1,1,0,0,-0.937
1,11.4.24,T1V13-18,18,2,9,27.5,C,,0,0.15,0.147727273,0.176,0.15,0.147,0,0.853,0,0,1,1,0,0,-1.769
1,11.4.24,T1V19-24,19,1,1,27.5,D,,0,0.1549,0.045594578,0.1623,0.1549,0.045,0,0.955,0,0,1,1,0,0,0
1,11.4.24,T1V19-24,20,1,2,27.5,D,0.375873476,0,0.0934,0.450911229,0.1701,0.0934,0.451,0,0.549,0,0,1,1,0,0,-8.985
1,11.4.24,T1V19-24,20,2,3,27.5,D,,0,0.0899,0.298204528,0.1281,0.0899,0.298,0,0.702,0,0,1,1,0,0,-5.589
1,11.4.24,T1V19-24,20,3,4,27.5,D,,0,0.1197,0.378504673,0.1926,0.1197,0.378,0,0.622,0,0,1,1,0,0,-7.37
1,11.4.24,T1V19-24,21,1,5,27.5,C,0.237871309,0,0.1735,0.176554343,0.2107,0.1735,0.176,0,0.824,0,0,1,1,0,0,-2.903
1,11.4.24,T1V19-24,21,2,6,27.5,C,,0,0.0855,0.316546763,0.1251,0.0855,0.316,0,0.684,0,0,1,1,0,0,-6.003
1,11.4.24,T1V19-24,21,3,7,27.5,C,,0,0.152,0.220512821,0.195,0.152,0.221,0,0.779,0,0,1,1,0,0,-3.882
1,11.4.24,T1V19-24,22,1,8,27.5,D,,0,0.1569,0.432754881,0.2766,0.1569,0.433,0,0.567,0,0,1,1,0,0,-8.581
1,11.4.24,T1V19-24,23,1,9,27.5,D,,0,0.0836,0.127348643,0.0958,0.0836,0.128,0,0.872,0,0,1,1,0,0,-1.823
1,11.4.24,T1V19-24,24,1,10,27.5,C,0.177976593,0,0.1002,0.202229299,0.1256,0.1002,0.202,0,0.798,0,0,1,1,0,0,-3.478
1,11.4.24,T1V19-24,24,2,11,27.5,C,,0,0.0753,0.213987474,0.0958,0.0753,0.214,0,0.786,0,0,1,1,0,0,-3.743
1,11.4.24,T1V19-24,24,3,12,27.5,C,,0,0.1574,0.117713004,0.1784,0.1574,0.118,0,0.882,0,0,1,1,0,0,-1.607
1,11.4.24,T1V25-30,25,1,1,27.5,C,,0,0.1681,0.173143138,0.2033,0.1681,0.173,0,0.827,0,0,1,1,0,0,0
1,11.4.24,T1V25-30,26,1,2,27.5,D,,0,0.1124,0.119122257,0.1276,0.1124,0.119,0,0.881,0,0,1,1,0,0,0.314
