Days,perc.larv,temp,zoox,rep.ID,species,Population,Site,source,Reef,Datasheet,Initial.density.larvae,Unit,Volume.vessel,unit
0,0,27.5,D,T1V1,Acropora_tenuis,Bulk1,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V10,Acropora_tenuis,B.T.8xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V11,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V12,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V13,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V14,Acropora_tenuis,T.T.2xT.T.4,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V15,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V16,Acropora_tenuis,Bulk1,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V17,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V18,Acropora_tenuis,T.T.2xT.T.4,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V19,Acropora_tenuis,T.T.2xT.T.4,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V2,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V20,Acropora_tenuis,B.T.4xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V21,Acropora_tenuis,B.T.8xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V22,Acropora_tenuis,Bulk1,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V23,Acropora_tenuis,Bulk1,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V24,Acropora_tenuis,Bulk1,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V25,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V26,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V27,Acropora_tenuis,B.T.4xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V28,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V29,Acropora_tenuis,B.T.4xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V3,Acropora_tenuis,B.T.8xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V30,Acropora_tenuis,B.T.4xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V31,Acropora_tenuis,T.T.2xT.T.4,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V32,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V33,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V34,Acropora_tenuis,T.T.2xT.T.4,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V35,Acropora_tenuis,T.T.2xT.T.4,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V36,Acropora_tenuis,B.T.4xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V37,Acropora_tenuis,B.T.8xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V38,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V39,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V4,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V40,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V41,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V42,Acropora_tenuis,B.T.8xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V5,Acropora_tenuis,B.T.8xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V6,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,C,T1V7,Acropora_tenuis,Bulk1,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V8,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,27.5,D,T1V9,Acropora_tenuis,B.T.4xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,D,T2V1,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,C,T2V10,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,C,T2V11,Acropora_tenuis,T.T.2xT.T.4,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,D,T2V12,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,C,T2V13,Acropora_tenuis,B.T.2xB.T.4,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,C,T2V14,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,D,T2V15,Acropora_tenuis,B.T.4xB.T.2,Ningaloo,Bell_etal_X,Bruboodjoo,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,C,T2V16,Acropora_tenuis,T.T.12xT.T.6,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
0,0,31,D,T2V17,Acropora_tenuis,T.T.6xT.T.12,Ningaloo,Bell_etal_X,Tantabiddi,dat.Bell27.5_C.csv,25,vial,50,ml
