"Group 1","Group 2","Mean Diff (log)","Lower 95% CI (log)","Upper 95% CI (log)","Mean Diff (back-transformed)","Lower 95% CI (back-transformed)","Upper 95% CI (back-transformed)","pMCMC","Significant"
"C_BxB_Ambient","D_BxB_Ambient",16.4635969996833,12.2628240474151,20.8199970981936,"1.41e+07","2.12e+05","1.10e+09",0,"*"
"C_BxB_Ambient","C_TxT_Ambient",16.40202104239,12.4190000619272,20.4011199236567,"1.33e+07","2.47e+05","7.25e+08",0,"*"
"C_BxB_Ambient","D_TxT_Ambient",13.327506060218,9.44404277975909,17.4226685104667,"6.14e+05","1.26e+04","3.69e+07",0,"*"
"C_BxB_Ambient","C_BxB_31",15.9799285599685,10.3791026941203,21.427903681024,"8.71e+06","3.22e+04","2.02e+09",0,"*"
"C_BxB_Ambient","D_BxB_31",17.4830455849723,12.1932217068104,22.4624312244508,"3.92e+07","1.97e+05","5.69e+09",0,"*"
"C_BxB_Ambient","C_TxT_31",13.5321436305258,8.29447283441859,18.8044444269444,"7.53e+05","4.00e+03","1.47e+08",0,"*"
"C_BxB_Ambient","D_TxT_31",17.243446766478,12.2705703818797,22.3669242922936,"3.08e+07","2.13e+05","5.17e+09",0,"*"
"D_BxB_Ambient","C_TxT_Ambient",-0.0615759572932445,-3.81314844794679,3.65337050028738,"-6.35e-02","-9.78e-01","3.76e+01",0.98,""
"D_BxB_Ambient","D_TxT_Ambient",-3.1360909394652,-6.88637413692104,0.778268053633928,"-2.20e+01","-9.99e-01","1.18e+00",0.113,""
"D_BxB_Ambient","C_BxB_31",-0.483668439714722,-5.83600952797606,4.86952564382327,"-6.22e-01","-9.97e-01","1.29e+02",0.869,""
"D_BxB_Ambient","D_BxB_31",1.01944858528908,-3.78664319338632,5.944076072809,"1.77e+00","-9.77e-01","3.80e+02",0.694,""
"D_BxB_Ambient","C_TxT_31",-2.93145336915744,-8.11929963880011,2.01657212734749,"-1.78e+01","-1.00e+00","6.51e+00",0.233,""
"D_BxB_Ambient","D_TxT_31",0.779849766794789,-4.1940987203204,5.84651131813218,"1.18e+00","-9.85e-01","3.45e+02",0.764,""
"C_TxT_Ambient","D_TxT_Ambient",-3.07451498217196,-6.51337601489959,0.428203199965166,"-2.06e+01","-9.99e-01","5.34e-01",0.088,""
"C_TxT_Ambient","C_BxB_31",-0.422092482421477,-5.68211012032975,4.74530618289954,"-5.25e-01","-9.97e-01","1.14e+02",0.889,""
"C_TxT_Ambient","D_BxB_31",1.08102454258232,-3.38841073688354,5.60144565756877,"1.95e+00","-9.66e-01","2.70e+02",0.638,""
"C_TxT_Ambient","C_TxT_31",-2.86987741186419,-7.8064115190708,1.86551345511015,"-1.66e+01","-1.00e+00","5.46e+00",0.229,""
"C_TxT_Ambient","D_TxT_31",0.841425724088033,-3.78667226166933,5.61074321695239,"1.32e+00","-9.77e-01","2.72e+02",0.732,""
"D_TxT_Ambient","C_BxB_31",2.65242249975048,-2.46657031079603,7.73105866430984,"1.32e+01","-9.15e-01","2.28e+03",0.325,""
"D_TxT_Ambient","D_BxB_31",4.15553952475428,-0.684077862333754,8.85884562431877,"6.28e+01","-4.95e-01","7.04e+03",0.088,""
"D_TxT_Ambient","C_TxT_31",0.204637570307765,-4.49438854516409,4.82531542972391,"2.27e-01","-9.89e-01","1.24e+02",0.905,""
"D_TxT_Ambient","D_TxT_31",3.91594070625999,-0.639492867326635,8.76253860305624,"4.92e+01","-4.72e-01","6.39e+03",0.092,""
"C_BxB_31","D_BxB_31",1.5031170250038,-4.54607704499288,7.37662836429354,"3.50e+00","-9.89e-01","1.60e+03",0.63,""
"C_BxB_31","C_TxT_31",-2.44778492944272,-8.54250635044218,3.6626444954225,"-1.06e+01","-1.00e+00","3.80e+01",0.426,""
"C_BxB_31","D_TxT_31",1.26351820650951,-4.59638618417221,7.36492061705155,"2.54e+00","-9.90e-01","1.58e+03",0.675,""
"D_BxB_31","C_TxT_31",-3.95090195444651,-9.70937054787882,1.57151136201718,"-5.10e+01","-1.00e+00","3.81e+00",0.174,""
"D_BxB_31","D_TxT_31",-0.239598818494287,-5.70919214464493,5.46521204411701,"-2.71e-01","-9.97e-01","2.35e+02",0.917,""
"C_TxT_31","D_TxT_31",3.71130313595223,-1.78887597089506,9.63724059859412,"3.99e+01","-8.33e-01","1.53e+04",0.202,""
