"Group 1","Group 2","Mean Diff (log)","Lower 95% CI (log)","Upper 95% CI (log)","Mean Diff (back-transformed)","Lower 95% CI (back-transformed)","Upper 95% CI (back-transformed)","pMCMC","Significant"
"C_BxB_Ambient","D_BxB_Ambient",110.75150735367,-49.1907865607351,274.512732203573,"1.26e+48","-1.00e+00","1.66e+119",0.182,""
"C_BxB_Ambient","C_TxT_Ambient",46.219610861552,-102.47737345738,192.745424109734,"1.18e+20","-1.00e+00","5.11e+83",0.534,""
"C_BxB_Ambient","D_TxT_Ambient",139.834009748953,-8.6305766448464,292.258409319445,"5.36e+60","-1.00e+00","8.44e+126",0.067,""
"C_BxB_Ambient","C_BxB_31",173.275324284166,-33.191030152052,382.082096014068,"1.79e+75","-1.00e+00","8.63e+165",0.1,""
"C_BxB_Ambient","D_BxB_31",157.873481747253,-29.1302304637724,355.468003730816,"3.66e+68","-1.00e+00","2.39e+154",0.095,""
"C_BxB_Ambient","C_TxT_31",47.9152877175436,-144.379620789686,235.594227817421,"6.45e+20","-1.00e+00","2.08e+102",0.598,""
"C_BxB_Ambient","D_TxT_31",154.907291029614,-32.3745309342352,341.249099132192,"1.89e+67","-1.00e+00","1.59e+148",0.095,""
"D_BxB_Ambient","C_TxT_Ambient",-64.5318964921176,-210.339848934515,78.3613878328059,"-1.00e+00","-1.00e+00","1.08e+34",0.365,""
"D_BxB_Ambient","D_TxT_Ambient",29.0825023952831,-117.317817437659,171.350121451899,"4.27e+12","-1.00e+00","2.61e+74",0.678,""
"D_BxB_Ambient","C_BxB_31",62.5238169304967,-141.96794429132,257.317945022612,"1.42e+27","-1.00e+00","5.65e+111",0.517,""
"D_BxB_Ambient","D_BxB_31",47.1219743935836,-129.060594939532,240.725684644318,"2.92e+20","-1.00e+00","3.51e+104",0.627,""
"D_BxB_Ambient","C_TxT_31",-62.8362196361261,-248.768838460299,120.029036080398,"-1.00e+00","-1.00e+00","1.34e+52",0.497,""
"D_BxB_Ambient","D_TxT_31",44.1557836759447,-128.430908600275,222.221692440095,"1.50e+19","-1.00e+00","3.23e+96",0.63,""
"C_TxT_Ambient","D_TxT_Ambient",93.6143988874007,-32.5829065623619,222.543552215123,"4.53e+40","-1.00e+00","4.46e+96",0.138,""
"C_TxT_Ambient","C_BxB_31",127.055713422614,-69.0736368213391,316.219882828032,"1.51e+55","-1.00e+00","2.15e+137",0.174,""
"C_TxT_Ambient","D_BxB_31",111.653870885701,-58.0965952884308,289.865794137766,"3.09e+48","-1.00e+00","7.71e+125",0.188,""
"C_TxT_Ambient","C_TxT_31",1.69567685599154,-172.017999383959,179.604706483744,"4.45e+00","-1.00e+00","1.00e+78",0.987,""
"C_TxT_Ambient","D_TxT_31",108.687680168062,-53.5924893257634,278.121828917669,"1.59e+47","-1.00e+00","6.12e+120",0.192,""
"D_TxT_Ambient","C_BxB_31",33.4413145352137,-149.023997834447,223.635941812385,"3.34e+14","-1.00e+00","1.33e+97",0.735,""
"D_TxT_Ambient","D_BxB_31",18.0394719983005,-158.955276793056,201.529274097173,"6.83e+07","-1.00e+00","3.33e+87",0.834,""
"D_TxT_Ambient","C_TxT_31",-91.9187220314092,-264.770162207476,83.5466019960182,"-1.00e+00","-1.00e+00","1.92e+36",0.287,""
"D_TxT_Ambient","D_TxT_31",15.0732812806616,-149.672086927124,180.556416681066,"3.52e+06","-1.00e+00","2.60e+78",0.852,""
"C_BxB_31","D_BxB_31",-15.4018425369131,-240.717089724594,202.475371473165,"-1.00e+00","-1.00e+00","8.59e+87",0.892,""
"C_BxB_31","C_TxT_31",-125.360036566623,-353.460709180504,107.692327234247,"-1.00e+00","-1.00e+00","5.89e+46",0.259,""
"C_BxB_31","D_TxT_31",-18.368033254552,-235.08211263051,196.88825052381,"-1.00e+00","-1.00e+00","3.22e+85",0.868,""
"D_BxB_31","C_TxT_31",-109.95819402971,-314.555347902059,100.955927048917,"-1.00e+00","-1.00e+00","6.99e+43",0.282,""
"D_BxB_31","D_TxT_31",-2.9661907176389,-208.855357504122,202.901182381249,"-9.49e-01","-1.00e+00","1.31e+88",0.975,""
"C_TxT_31","D_TxT_31",106.992003312071,-97.2484271000703,313.105154676522,"2.92e+46","-1.00e+00","9.55e+135",0.287,""
