"Group 1","Group 2","Mean Diff (log)","Lower 95% CI (log)","Upper 95% CI (log)","Mean Diff (back-transformed)","Lower 95% CI (back-transformed)","Upper 95% CI (back-transformed)","pMCMC","Significant"
"C_CC_Ambient","D_CC_Ambient",18.4946382740812,13.5492443146613,23.3807530871662,"1.08e+08","7.66e+05","1.43e+10",0,"*"
"C_CC_Ambient","C_WW_Ambient",-2.39070893326814,-6.84528008817397,2.20819573156586,"-9.08e-01","-9.99e-01","8.10e+00",0.277,""
"C_CC_Ambient","D_WW_Ambient",-7.02107827509669,-11.4293315622426,-2.48206797938788,"-9.99e-01","-1.00e+00","-9.16e-01",0.005,"*"
"C_CC_Ambient","C_CC_31",7.48995995934008,1.05889464872853,13.9375314073153,"1.79e+03","1.88e+00","1.13e+06",0.021,"*"
"C_CC_Ambient","D_CC_31",2.21981661539088,-3.35755637507264,7.89718005505851,"8.21e+00","-9.65e-01","2.69e+03",0.439,""
"C_CC_Ambient","C_WW_31",-17.2456517425568,-22.9524475537906,-11.4367704841301,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_CC_Ambient","D_WW_31",-17.8204453649792,-23.5367326410799,-11.9177021056095,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","C_WW_Ambient",-20.8853472073493,-25.0805669294888,-16.3333576456056,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","D_WW_Ambient",-25.5157165491779,-29.924714332688,-21.1062815874417,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","C_CC_31",-11.0046783147411,-17.0907503901403,-4.89101596247893,"-1.00e+00","-1.00e+00","-9.92e-01",0.002,"*"
"D_CC_Ambient","D_CC_31",-16.2748216586903,-21.9458980136776,-10.5820047207989,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","C_WW_31",-35.7402900166379,-41.3206756595074,-30.395423080089,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","D_WW_31",-36.3150836390603,-41.7854304818292,-30.8976313981602,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_WW_Ambient","D_WW_Ambient",-4.63036934182855,-8.56509237346472,-0.612843769267513,"-9.90e-01","-1.00e+00","-4.58e-01",0.021,"*"
"C_WW_Ambient","C_CC_31",9.88066889260821,3.93749633651844,15.8766982686322,"1.95e+04","5.03e+01","7.86e+06",0.001,"*"
"C_WW_Ambient","D_CC_31",4.61052554865902,-0.718575618807085,9.63373363156765,"9.95e+01","-5.13e-01","1.53e+04",0.092,""
"C_WW_Ambient","C_WW_31",-14.8549428092886,-20.138957669544,-9.43247097792401,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_WW_Ambient","D_WW_31",-15.429736431711,-20.632244472858,-9.81613634011372,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_WW_Ambient","C_CC_31",14.5110382344368,8.39194215646403,20.609961535063,"2.00e+06","4.41e+03","8.93e+08",0,"*"
"D_WW_Ambient","D_CC_31",9.24089489048757,3.93114132798792,14.6679521473974,"1.03e+04","5.00e+01","2.35e+06",0.001,"*"
"D_WW_Ambient","C_WW_31",-10.2245734674601,-15.4184087335429,-4.93074321799868,"-1.00e+00","-1.00e+00","-9.93e-01",0,"*"
"D_WW_Ambient","D_WW_31",-10.7993670898825,-16.0174942178806,-5.34215990240373,"-1.00e+00","-1.00e+00","-9.95e-01",0,"*"
"C_CC_31","D_CC_31",-5.27014334394919,-12.3132426099443,1.69662000101966,"-9.95e-01","-1.00e+00","4.46e+00",0.14,""
"C_CC_31","C_WW_31",-24.7356117018969,-31.7079766114195,-17.9225215938736,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_CC_31","D_WW_31",-25.3104053243192,-32.3545975471505,-18.4196878460646,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_31","C_WW_31",-19.4654683579477,-25.7666781246255,-13.1482921332296,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_31","D_WW_31",-20.04026198037,-26.3405228005111,-13.4889215741265,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_WW_31","D_WW_31",-0.57479362242238,-6.74590885011964,5.51842570875114,"-4.37e-01","-9.99e-01","2.48e+02",0.874,""
