Comparison,Mean Difference,Standard Error,Degrees of Freedom,t-value,Adjusted p-value,
Ambient C - 31 C,27.967,13.865,358,2.017,0.335,
Ambient C - 35.5 C,116.352,13.691,358,8.498,0.000,
Ambient C - Ambient D,45.884,13.691,358,3.351,0.011,
Ambient C - 31 D,14.836,13.691,358,1.084,0.888,
Ambient C - 35.5 D,116.352,13.691,358,8.498,0.000,
31 C - 35.5 C,88.384,13.570,358,6.513,0.000,
31 C - Ambient D,17.916,13.570,358,1.320,0.774,
31 C - 31 D,-13.131,13.570,358,-0.968,0.928,
31 C - 35.5 D,88.384,13.570,358,6.513,0.000,
35.5 C - Ambient D,-70.468,13.397,358,-5.260,0.000,
35.5 C - 31 D,-101.516,13.397,358,-7.577,0.000,
35.5 C - 35.5 D,0.000,13.397,358,0.000,1.000,
Ambient D - 31 D,-31.048,13.397,358,-2.317,0.190,
Ambient D - 35.5 D,70.468,13.397,358,5.260,0.000,
31 D - 35.5 D,101.516,13.397,358,7.577,0.000,
,,,,,,
,,,,,,
