Timepoint,Temperature,Symbiont Identity,Population of Origin,Replicates Start,Replicates Survived,Percent Tube Survival,Mean Larval Survival,Total Larvae Started,Total Larvae Survived
0,Ambient,C,CC,9,27,100,100,225,225
0,Ambient,C,WW,12,36,100,100,300,300
0,Ambient,D,CC,9,27,100,100,225,225
0,Ambient,D,WW,12,36,100,100,300,300
0,31,C,CC,9,27,100,100,225,225
0,31,C,WW,12,36,100,100,300,300
0,31,D,CC,9,27,100,100,225,225
0,31,D,WW,12,36,100,100,300,300
0,35.5,C,CC,9,27,100,100,225,225
0,35.5,C,WW,12,36,100,100,300,300
0,35.5,D,CC,9,27,100,100,225,225
0,35.5,D,WW,12,36,100,100,300,300
22,Ambient,C,CC,9,6,66.66666667,51.11,225,115
22,Ambient,C,WW,12,11,91.66666667,74.00,300,222
22,Ambient,D,CC,9,7,77.77777778,60.89,225,137
22,Ambient,D,WW,12,10,83.33333333,63.00,300,189
22,31,C,CC,9,3,33.33333333,73.33,225,55
22,31,C,WW,12,4,33.33333333,44.8,300,56
22,31,D,CC,9,4,44.44444444,46.67,225,70
22,31,D,WW,12,4,33.33333333,51.20,300,64
22,35.5,C,CC,9,0,0,0,225,0
22,35.5,C,WW,12,0,0,0,300,0
22,35.5,D,CC,9,0,0,0,225,0
22,35.5,D,WW,12,0,0,0,300,0
"C, cool (Bruboodjoo); W, warm (Tantabiddi).",,,,,,,,,
