"Group 1","Group 2","Mean Diff (log)","Lower 95% CI (log)","Upper 95% CI (log)","Mean Diff (back-transformed)","Lower 95% CI (back-transformed)","Upper 95% CI (back-transformed)","pMCMC","Significant"
"C_BxB_Ambient","D_BxB_Ambient",-11.7761546034468,-161.514968023294,136.372401765849,"-1.00e+00","-1.00e+00","1.68e+59",0.878,""
"C_BxB_Ambient","C_TxT_Ambient",-54.3312381732117,-197.007186643031,85.2388677373845,"-1.00e+00","-1.00e+00","1.04e+37",0.457,""
"C_BxB_Ambient","D_TxT_Ambient",-89.0813248693522,-233.717860267004,57.4828179221434,"-1.00e+00","-1.00e+00","9.21e+24",0.205,""
"C_BxB_Ambient","C_BxB_31",-44.0756159199449,-234.504709858419,140.40905506084,"-1.00e+00","-1.00e+00","9.53e+60",0.658,""
"C_BxB_Ambient","D_BxB_31",6.5713289932263,-193.375571340095,198.949047130099,"7.13e+02","-1.00e+00","2.53e+86",0.931,""
"C_BxB_Ambient","C_TxT_31",8.43064040799379,-211.993123405045,234.485370652056,"4.58e+03","-1.00e+00","6.85e+101",0.955,""
"C_BxB_Ambient","D_TxT_31",15.7904130633173,-174.486060961562,214.210612262982,"7.21e+06","-1.00e+00","1.07e+93",0.877,""
"D_BxB_Ambient","C_TxT_Ambient",-42.5550835697649,-180.23396221537,97.5982641830925,"-1.00e+00","-1.00e+00","2.43e+42",0.536,""
"D_BxB_Ambient","D_TxT_Ambient",-77.3051702659053,-213.517210822304,56.301355664133,"-1.00e+00","-1.00e+00","2.83e+24",0.254,""
"D_BxB_Ambient","C_BxB_31",-32.2994613164981,-216.569150482717,153.345861605999,"-1.00e+00","-1.00e+00","3.96e+66",0.719,""
"D_BxB_Ambient","D_BxB_31",18.3474835966731,-155.121305071013,202.268924200231,"9.29e+07","-1.00e+00","6.99e+87",0.843,""
"D_BxB_Ambient","C_TxT_31",20.2067950114406,-202.711630291087,239.520092278641,"5.97e+08","-1.00e+00","1.05e+104",0.839,""
"D_BxB_Ambient","D_TxT_31",27.5665676667642,-157.259096010015,217.019347373359,"9.38e+11","-1.00e+00","1.78e+94",0.782,""
"C_TxT_Ambient","D_TxT_Ambient",-34.7500866961405,-156.441548608043,87.5470037224204,"-1.00e+00","-1.00e+00","1.05e+38",0.566,""
"C_TxT_Ambient","C_BxB_31",10.2556222532667,-164.951962628013,187.27246174237,"2.84e+04","-1.00e+00","2.14e+81",0.901,""
"C_TxT_Ambient","D_BxB_31",60.902567166438,-118.50656269639,243.114274146986,"2.82e+26","-1.00e+00","3.83e+105",0.504,""
"C_TxT_Ambient","C_TxT_31",62.7618785812055,-142.994400533501,277.621789398688,"1.81e+27","-1.00e+00","3.71e+120",0.567,""
"C_TxT_Ambient","D_TxT_31",70.121651236529,-121.370671300985,254.763036048172,"2.84e+30","-1.00e+00","4.39e+110",0.461,""
"D_TxT_Ambient","C_BxB_31",45.0057089494072,-133.640589756947,224.166812629487,"3.51e+19","-1.00e+00","2.26e+97",0.603,""
"D_TxT_Ambient","D_BxB_31",95.6526538625785,-83.0416543495473,273.684526641462,"3.48e+41","-1.00e+00","7.24e+118",0.276,""
"D_TxT_Ambient","C_TxT_31",97.511965277346,-113.267378217301,302.501407339502,"2.23e+42","-1.00e+00","2.37e+131",0.339,""
"D_TxT_Ambient","D_TxT_31",104.87173793267,-83.0148676813734,280.844619268335,"3.51e+45","-1.00e+00","9.32e+121",0.245,""
"C_BxB_31","D_BxB_31",50.6469449131712,-177.9111178702,276.309178165535,"9.90e+21","-1.00e+00","9.99e+119",0.647,""
"C_BxB_31","C_TxT_31",52.5062563279387,-200.422766831227,296.549402930097,"6.36e+22","-1.00e+00","6.16e+128",0.659,""
"C_BxB_31","D_TxT_31",59.8660289832623,-162.032112368757,274.931500334386,"9.99e+25","-1.00e+00","2.52e+119",0.584,""
"D_BxB_31","C_TxT_31",1.85931141476749,-250.711103262301,230.315261644531,"5.42e+00","-1.00e+00","1.06e+100",0.976,""
"D_BxB_31","D_TxT_31",9.21908407009104,-204.405853178942,228.122146760996,"1.01e+04","-1.00e+00","1.18e+99",0.954,""
"C_TxT_31","D_TxT_31",7.35977265532355,-235.478812752933,248.942535745702,"1.57e+03","-1.00e+00","1.30e+108",0.957,""
