"Group 1","Group 2","Mean Diff (log)","Lower 95% CI (log)","Upper 95% CI (log)","Mean Diff (back-transformed)","Lower 95% CI (back-transformed)","Upper 95% CI (back-transformed)","pMCMC","Significant"
"C_CC_Ambient","D_CC_Ambient",18.5684718831368,13.3921684186217,23.6353329723326,"1.16e+08","6.55e+05","1.84e+10",0,"*"
"C_CC_Ambient","C_WW_Ambient",-2.22029438054974,-6.6889280013711,2.37565696391721,"-8.91e-01","-9.99e-01","9.76e+00",0.357,""
"C_CC_Ambient","D_WW_Ambient",-6.88547513313752,-11.6123128239059,-2.12328019462712,"-9.99e-01","-1.00e+00","-8.80e-01",0.004,"*"
"C_CC_Ambient","C_CC_31",7.67697008760094,1.24288954699678,14.6400230790373,"2.16e+03","2.47e+00","2.28e+06",0.019,"*"
"C_CC_Ambient","D_CC_31",2.3492838083789,-3.60415227297216,8.1399911280555,"9.48e+00","-9.73e-01","3.43e+03",0.439,""
"C_CC_Ambient","C_WW_31",-17.15440542428,-22.9795647295082,-10.3841899632029,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_CC_Ambient","D_WW_31",-17.6151337429428,-23.473804847129,-11.7275070300427,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_CC_Ambient","C_CC_35.5",0,0,0,"0.00e+00","0.00e+00","0.00e+00",0,""
"C_CC_Ambient","D_CC_35.5",18.5684718831368,13.3921684186217,23.6353329723326,"1.16e+08","6.55e+05","1.84e+10",0,"*"
"C_CC_Ambient","C_WW_35.5",-2.22029438054974,-6.6889280013711,2.37565696391721,"-8.91e-01","-9.99e-01","9.76e+00",0.357,""
"C_CC_Ambient","D_WW_35.5",-6.88547513313752,-11.6123128239059,-2.12328019462712,"-9.99e-01","-1.00e+00","-8.80e-01",0.004,"*"
"D_CC_Ambient","C_WW_Ambient",-20.7887662636865,-25.106351479323,-16.4973344345076,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","D_WW_Ambient",-25.4539470162743,-29.7791285332249,-20.9651231574514,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","C_CC_31",-10.8915017955358,-17.0879779501929,-4.33589219040269,"-1.00e+00","-1.00e+00","-9.87e-01",0.001,"*"
"D_CC_Ambient","D_CC_31",-16.2191880747579,-22.0853956187536,-10.6076754034158,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","C_WW_31",-35.7228773074167,-41.6286015174258,-30.0562777272895,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","D_WW_31",-36.1836056260796,-41.6033256679663,-30.5580114293347,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","C_CC_35.5",-18.5684718831368,-23.6353329723326,-13.3921684186217,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","D_CC_35.5",0,0,0,"0.00e+00","0.00e+00","0.00e+00",0,""
"D_CC_Ambient","C_WW_35.5",-20.7887662636865,-25.106351479323,-16.4973344345076,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_Ambient","D_WW_35.5",-25.4539470162743,-29.7791285332249,-20.9651231574514,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_WW_Ambient","D_WW_Ambient",-4.66518075258778,-8.57066547049869,-0.607335863530172,"-9.91e-01","-1.00e+00","-4.55e-01",0.023,"*"
"C_WW_Ambient","C_CC_31",9.89726446815069,4.1216557491276,15.7943656178381,"1.99e+04","6.07e+01","7.23e+06",0.001,"*"
"C_WW_Ambient","D_CC_31",4.56957818892864,-0.704239474198607,9.95823976437911,"9.55e+01","-5.06e-01","2.11e+04",0.101,""
"C_WW_Ambient","C_WW_31",-14.9341110437302,-20.541396087981,-9.55940566562576,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_WW_Ambient","D_WW_31",-15.3948393623931,-20.6959238133092,-9.80928296862601,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_WW_Ambient","C_CC_35.5",2.22029438054974,-2.37565696391721,6.68892800137109,"8.21e+00","-9.07e-01","8.02e+02",0.357,""
"C_WW_Ambient","D_CC_35.5",20.7887662636865,16.4973344345076,25.106351479323,"1.07e+09","1.46e+07","8.01e+10",0,"*"
"C_WW_Ambient","C_WW_35.5",0,0,0,"0.00e+00","0.00e+00","0.00e+00",0,""
"C_WW_Ambient","D_WW_35.5",-4.66518075258778,-8.57066547049869,-0.607335863530172,"-9.91e-01","-1.00e+00","-4.55e-01",0.023,"*"
"D_WW_Ambient","C_CC_31",14.5624452207385,8.68549979703375,20.7527323217484,"2.11e+06","5.92e+03","1.03e+09",0,"*"
"D_WW_Ambient","D_CC_31",9.23475894151642,4.03920111363022,14.702980513904,"1.02e+04","5.58e+01","2.43e+06",0.001,"*"
"D_WW_Ambient","C_WW_31",-10.2689302911425,-15.7263632731308,-5.11300178442584,"-1.00e+00","-1.00e+00","-9.94e-01",0,"*"
"D_WW_Ambient","D_WW_31",-10.7296586098053,-15.9056958483109,-5.16121446041562,"-1.00e+00","-1.00e+00","-9.94e-01",0,"*"
"D_WW_Ambient","C_CC_35.5",6.88547513313752,2.12328019462711,11.6123128239059,"9.77e+02","7.36e+00","1.10e+05",0.004,"*"
"D_WW_Ambient","D_CC_35.5",25.4539470162743,20.9651231574514,29.7791285332249,"1.13e+11","1.27e+09","8.57e+12",0,"*"
"D_WW_Ambient","C_WW_35.5",4.66518075258778,0.60733586353017,8.57066547049869,"1.05e+02","8.36e-01","5.27e+03",0.023,"*"
"D_WW_Ambient","D_WW_35.5",0,0,0,"0.00e+00","0.00e+00","0.00e+00",0,""
"C_CC_31","D_CC_31",-5.32768627922205,-12.469826191344,1.62176900630129,"-9.95e-01","-1.00e+00","4.06e+00",0.13,""
"C_CC_31","C_WW_31",-24.8313755118809,-31.8388636072468,-18.2343157084251,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_CC_31","D_WW_31",-25.2921038305438,-32.6031537445607,-18.1146263149019,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"C_CC_31","C_CC_35.5",-7.67697008760094,-14.6400230790373,-1.24288954699678,"-1.00e+00","-1.00e+00","-7.11e-01",0.019,"*"
"C_CC_31","D_CC_35.5",10.8915017955358,4.33589219040268,17.0879779501929,"5.37e+04","7.54e+01","2.64e+07",0.001,"*"
"C_CC_31","C_WW_35.5",-9.89726446815069,-15.7943656178381,-4.12165574912761,"-1.00e+00","-1.00e+00","-9.84e-01",0.001,"*"
"C_CC_31","D_WW_35.5",-14.5624452207385,-20.7527323217484,-8.68549979703375,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_31","C_WW_31",-19.5036892326589,-25.9522014910106,-13.0875008683118,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_31","D_WW_31",-19.9644175513217,-26.5673306597746,-13.7741511727611,"-1.00e+00","-1.00e+00","-1.00e+00",0,"*"
"D_CC_31","C_CC_35.5",-2.3492838083789,-8.1399911280555,3.60415227297216,"-9.05e-01","-1.00e+00","3.58e+01",0.439,""
"D_CC_31","D_CC_35.5",16.2191880747579,10.6076754034158,22.0853956187536,"1.11e+07","4.04e+04","3.90e+09",0,"*"
"D_CC_31","C_WW_35.5",-4.56957818892864,-9.95823976437911,0.704239474198607,"-9.90e-01","-1.00e+00","1.02e+00",0.101,""
"D_CC_31","D_WW_35.5",-9.23475894151642,-14.702980513904,-4.03920111363023,"-1.00e+00","-1.00e+00","-9.82e-01",0.001,"*"
"C_WW_31","D_WW_31",-0.460728318662843,-6.66999734127858,5.85425364968278,"-3.69e-01","-9.99e-01","3.48e+02",0.866,""
"C_WW_31","C_CC_35.5",17.15440542428,10.3841899632029,22.9795647295082,"2.82e+07","3.23e+04","9.55e+09",0,"*"
"C_WW_31","D_CC_35.5",35.7228773074167,30.0562777272895,41.6286015174258,"3.27e+15","1.13e+13","1.20e+18",0,"*"
"C_WW_31","C_WW_35.5",14.9341110437302,9.55940566562576,20.541396087981,"3.06e+06","1.42e+04","8.34e+08",0,"*"
"C_WW_31","D_WW_35.5",10.2689302911425,5.11300178442582,15.7263632731308,"2.88e+04","1.65e+02","6.76e+06",0,"*"
