"contrast","estimate","SE","df","t.ratio","p.value"
"Ambient C - 31 C",27.9673976740854,13.8646167701581,358,2.01717783749218,0.334559786798831
"Ambient C - 35.5 C",116.351837625562,13.6913484151105,358,8.49820149906858,0
"Ambient C - Ambient D",45.883583657309,13.6913484151105,358,3.35128303408519,0.0114025488232836
"Ambient C - 31 D",14.8359646096897,13.6913484151105,358,1.08360142185235,0.887752803129929
"Ambient C - 35.5 D",116.351837625562,13.6913484151105,358,8.49820149906857,0
"31 C - 35.5 C",88.384439951477,13.5701802195497,358,6.513136783854,3.73388497898475e-09
"31 C - Ambient D",17.9161859832236,13.5701802195497,358,1.3202614625127,0.773696982293735
"31 C - 31 D",-13.1314330643957,13.5701802195497,358,-0.967668288257373,0.927863226969678
"31 C - 35.5 D",88.3844399514768,13.5701802195497,358,6.51313678385397,3.73388497898475e-09
"35.5 C - Ambient D",-70.4682539682535,13.3970898922559,358,-5.25996724176548,3.68860656230208e-06
"35.5 C - 31 D",-101.515873015873,13.3970898922559,358,-7.57745703225842,7.17537140815239e-13
"35.5 C - 35.5 D",-1.91846538655227e-13,13.3970898922559,358,-1.43200157794061e-14,1
"Ambient D - 31 D",-31.0476190476193,13.3970898922559,358,-2.31748979049294,0.18969998468249
"Ambient D - 35.5 D",70.4682539682533,13.3970898922559,358,5.25996724176546,3.68860656230208e-06
"31 D - 35.5 D",101.515873015873,13.3970898922559,358,7.57745703225841,7.17537140815239e-13
